explain_path,photo_path,name,con_yr,re_yr,bldg_type,bldg_loc,Area,gr_floor,under_floor,re_cost,energy_reduction,co2_reduction
https://raw.githubusercontent.com/Saem-repo/remodel_app/master/img/pop_up/Explain_109.png,img/rec_fig/109.png,BISF Steel Frame House,1954.71,2010.00,2.00,34.00,88.26,1.65,0.05,2480000.00,0.46,0.37
https://raw.githubusercontent.com/Saem-repo/remodel_app/master/img/pop_up/Explain_110.png,img/rec_fig/110.png,Bringing Wates homes into the Future,1954.71,2010.00,2.00,49.00,75.25,1.65,0.05,2480000.00,0.65,0.65
https://raw.githubusercontent.com/Saem-repo/remodel_app/master/img/pop_up/Explain_111.png,img/rec_fig/111.png,Bristol Retrofit,1954.71,2013.00,2.00,35.00,188.13,1.65,0.05,2480000.00,0.66,0.65
https://raw.githubusercontent.com/Saem-repo/remodel_app/master/img/pop_up/Explain_112.png,img/rec_fig/112.png,City West Homes,1954.71,2010.00,2.00,32.00,59.46,1.65,0.05,2480000.00,0.71,0.70
https://raw.githubusercontent.com/Saem-repo/remodel_app/master/img/pop_up/Explain_113.png,img/rec_fig/113.png,Compton,1954.71,2010.00,2.00,32.00,59.46,1.65,0.05,2480000.00,0.71,0.70
https://raw.githubusercontent.com/Saem-repo/remodel_app/master/img/pop_up/Explain_114.png,img/rec_fig/114.png,Hospital in Egypt,1954.71,2010.35,2.00,66.00,31029.60,1.65,0.05,2480000.00,0.41,0.35
https://raw.githubusercontent.com/Saem-repo/remodel_app/master/img/pop_up/Explain_115.png,img/rec_fig/115.png,435 Indio Way(NZEB),1954.71,2014.00,11.00,20.00,2950.60,1.65,0.05,5120000.00,0.99,0.99
https://raw.githubusercontent.com/Saem-repo/remodel_app/master/img/pop_up/Explain_116.png,img/rec_fig/116.png,mid-terrace Victorian house,1954.71,2010.00,2.00,32.00,60.39,1.65,0.05,5120000.00,0.79,0.77
https://raw.githubusercontent.com/Saem-repo/remodel_app/master/img/pop_up/Explain_117.png,img/rec_fig/117.png,Chale Green,1954.71,2010.00,2.00,37.00,88.26,1.65,0.05,5120000.00,0.86,0.83
https://raw.githubusercontent.com/Saem-repo/remodel_app/master/img/pop_up/Explain_118.png,img/rec_fig/118.png,Crawley Homes,1954.71,2010.00,2.00,38.00,90.58,1.65,0.05,5120000.00,0.61,0.52
https://raw.githubusercontent.com/Saem-repo/remodel_app/master/img/pop_up/Explain_119.png,img/rec_fig/119.png,Drum Housing Association,1954.71,2010.00,2.00,40.00,68.75,1.65,0.05,5120000.00,0.69,0.71
